url,category,title,price,ASIN,ratings,index
https://www.amazon.com/Sabbath-Official-Vintage-Negative-T-Shirt/dp/B07TRP27XX/ref=d_pd_sbs_sccl_1_5/135-5339061-2268245?pd_rd_w=oLDcV&content-id=amzn1.sym.2dc9b33d-bf98-4c85-be26-75af626c0551&pf_rd_p=2dc9b33d-bf98-4c85-be26-75af626c0551&pf_rd_r=W96QF74BVCEK9H2Q3PDY&pd_rd_wg=358OX&pd_rd_r=dba62175-1117-4172-9089-a71250cad7df&pd_rd_i=B07TRP27XX&psc=1,"Clothing, Shoes & Jewelry","Amazon.com: Black Sabbath Official Vintage Negative T-Shirt : Clothing, Shoes & Jewelry",22.99,B07TRP27XX,4.6 out of 5 stars,1
https://www.amazon.com/dp/B0B2CMHZ7V/ref=emc_bcc_2_i?th=1&psc=1,"Clothing, Shoes & Jewelry","NIMENJOJA Mens 7"" Sweat Shorts Cotton Workout Gym Jogger Lounge Zipper Pockets Shorts Navy Blue at Amazon Men’s Clothing store",23.99,B0B5FQK3LX,4.4 out of 5 stars,2
https://www.amazon.com/Amazon-Basics-Flossing-Replacement-Toothbrushes/dp/B08QWZ6SK4?ref_=ast_sto_dp&th=1&psc=1,Health & Household,"Amazon.com : Amazon Basics Flossing Replacement Brush Heads, 3 Count, 1-Pack (Fits most Oral-B Electric Toothbrushes) (Previously Solimo) : Health & Household",19.87,B08QWZ6SK4,4.3 out of 5 stars,3
https://www.amazon.com/Amazon-Basics-Tear-Free-Fluid-Ounce/dp/B09HHC7D77?ref_=ast_sto_dp,Health & Household,"Amazon.com: Amazon Basics Tear-Free Baby Hair and Body Wash, 27.1 Fluid Ounce, 1-Pack (Previously Solimo) : Health & Household",5.38,B09HHC7D77,4.4 out of 5 stars,4
https://www.amazon.com/Amazon-Basics-Clarifying-Grapefruit-Dermatologist/dp/B09HH8SDVC?ref_=ast_sto_dp,Beauty & Personal Care,"Amazon.com : Amazon Basics Clarifying Pink Grapefruit Body Wash, 2% Salicylic Acid Acne Treatment, Dermatologist Tested, 8.5 Fluid Ounces, 4-Pack (Previously Solimo) : Beauty & Personal Care",21.68,B09HH8SDVC,4.5 out of 5 stars,5
https://www.amazon.com/Amazon-Basics-Ointment-Protectant-Fragrance/dp/B09HHBSXS4?ref_=ast_sto_dp,Beauty & Personal Care,"Amazon.com : Amazon Basics Healing Ointment and Skin Protectant for Dry & Cracked Skin, Fragrance Free, 14 Ounce, 4-Pack (Previously Solimo) : Beauty & Personal Care",47.38,B09HHBSXS4,4.5 out of 5 stars,6
https://www.amazon.com/Amazon-Basics-Tear-Free-Fluid-Ounce/dp/B09HHC7D77?ref_=ast_sto_dp,Health & Household,"Amazon.com: Amazon Basics Tear-Free Baby Hair and Body Wash, 27.1 Fluid Ounce, 1-Pack (Previously Solimo) : Health & Household",5.38,B09HHC7D77,4.4 out of 5 stars,7
https://www.amazon.com/Royal-Dansk-Danish-Butter-Cookies/dp/B00XM5KSV6/ref=sr_1_5?crid=1B0PC6Q3NFHWJ&keywords=food&qid=1662493375&s=hpc&sprefix=foo%2Chpc%2C247&sr=1-5,Grocery & Gourmet Food,"Amazon.com: Royal Dansk Danish Cookies Tin, butter, 24 Ounce : Grocery & Gourmet Food",3.38,B00XM5KSV6,4.7 out of 5 stars,8
https://www.amazon.com/dp/B09WNDTJJM/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B09WNDTJJM&pd_rd_w=c6KBd&content-id=amzn1.sym.bff6e147-54ad-4be3-b4ea-ec19ea6167f7&pf_rd_p=bff6e147-54ad-4be3-b4ea-ec19ea6167f7&pf_rd_r=19V68FT2A18M7QCHKMG4&pd_rd_wg=ObwKo&pd_rd_r=936bfd80-9be0-499f-a082-3987c854a548&s=hpc&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzVlZWQllDOUZGVzFTJmVuY3J5cHRlZElkPUEwMTAwMDIyUlVVU1RMSllBN1JDJmVuY3J5cHRlZEFkSWQ9QTA0MzczODgyVlMwSllERlRZMUdKJndpZGdldE5hbWU9c3BfZGV0YWlsMiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,Grocery & Gourmet Food,"Amazon.com : Planters Sweet and Spicy Dry Roasted Peanuts, 16 oz. : Everything Else",18.75,B09WNDTJJM,4.4 out of 5 stars,9
https://www.amazon.com/dp/B094PW716K/ref=syn_sd_onsite_desktop_60?ie=UTF8&psc=1&pd_rd_plhdr=t,Grocery & Gourmet Food,"Amazon.com : Go Raw Sprouted Organic Granola, Raisin Crunch, Vegan, Gluten Free, Nut Free, Healthy Breakfast Cereal with Superseeds, Non-GMO, 0g Added Sugar, 3g Plant Based Protein, 8oz Bags, 3 Pack : Everything Else",11.93,B094PW716K,3.9 out of 5 stars,10
https://www.amazon.com/dp/B09YLSHGLC/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B09YLSHGLC&pd_rd_w=ysdxy&content-id=amzn1.sym.bff6e147-54ad-4be3-b4ea-ec19ea6167f7&pf_rd_p=bff6e147-54ad-4be3-b4ea-ec19ea6167f7&pf_rd_r=NWWZJAXKPY4R9TJYRTD3&pd_rd_wg=Q70G3&pd_rd_r=e8fc2e5e-1d9e-4782-beb7-b2d85fce030a&s=shoes&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyRlVZN0hPQlNaNEowJmVuY3J5cHRlZElkPUEwNzYxODk3MVdCQU1TTzZFUEc2QSZlbmNyeXB0ZWRBZElkPUEwODg4MTIxMzlBT04yRVJZSFRDTSZ3aWRnZXROYW1lPXNwX2RldGFpbDImYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,"Clothing, Shoes & Jewelry","Amazon.com | Casual Sneaker, Genuine Leather Lace-up Dress Shoes for Men | Chukka",59.49,B08SHL76JJ,4.3 out of 5 stars,11
https://www.amazon.com/dp/B094RFXL3Y/ref=emc_bcc_2_i,"Clothing, Shoes & Jewelry","NIMENJOJA Mens 5.5"" Athletic Gym Shorts Cotton Jogger Workout Lounge Jersey Zipper Pocket Sweat Shorts at Amazon Men’s Clothing store",17.99,B0916G9DHS,4.5 out of 5 stars,12
https://www.amazon.com/dp/B09M3S55GS/ref=emc_bcc_2_i?th=1&psc=1,"Clothing, Shoes & Jewelry","NIMENJOJA Mens 7"" Sweat Shorts Cotton Workout Gym Jogger Lounge Shorts with Zipper Pockets Dark Grey at Amazon Men’s Clothing store",23.99,B0B5FQK3LX,4.4 out of 5 stars,13
https://www.amazon.com/MTV-Flamingo-Vintage-Graphic-T-Shirt/dp/B07J9TBNPT/ref=pd_rhf_d_dp_s_pop_multi_srecs_sabr_cn_sccl_1_3/135-5339061-2268245?pd_rd_w=FvyEa&content-id=amzn1.sym.3691afbf-8e16-459d-afed-a0e67e4d7158&pf_rd_p=3691afbf-8e16-459d-afed-a0e67e4d7158&pf_rd_r=TC7W2MDV3752VK7ZWQVX&pd_rd_wg=ifS2w&pd_rd_r=ec099ec2-67e8-421c-b204-9763462a7de7&pd_rd_i=B07J9TBNPT&psc=1,"Clothing, Shoes & Jewelry","Amazon.com: MTV Beach Island Flamingo Logo Vintage Graphic T-Shirt : Clothing, Shoes & Jewelry",19.99,B07J9TBNPT,4.5 out of 5 stars,14
https://www.amazon.com/Official-Tupac-Vintage-California-T-Shirt/dp/B08SB66FNQ/ref=pd_rhf_d_dp_s_pop_multi_srecs_sabr_cn_sccl_1_2/135-5339061-2268245?pd_rd_w=FvyEa&content-id=amzn1.sym.3691afbf-8e16-459d-afed-a0e67e4d7158&pf_rd_p=3691afbf-8e16-459d-afed-a0e67e4d7158&pf_rd_r=TC7W2MDV3752VK7ZWQVX&pd_rd_wg=ifS2w&pd_rd_r=ec099ec2-67e8-421c-b204-9763462a7de7&pd_rd_i=B08SB66FNQ&psc=1,"Clothing, Shoes & Jewelry","Amazon.com: Official Tupac Love Vintage California T-Shirt : Clothing, Shoes & Jewelry",21.99,B08SB66FNQ,4.7 out of 5 stars,15
